,0
0,porlaviaxlavida
1,otraperiodista
2,genmasenergia
3,eldivinonene
4,claudia14175900
5,amo_elcafe
6,viejo_pollo
7,transitopolicia
8,c
9,sanchogallo21
10,lcacharro
11,clustergastronomia
12,inviasoficial
13,elmundoruedaxse
14,mepasoalafm
15,sehumano
16,pacom1974
17,marymatparra
18,line6
19,marcorozco1
20,romerovive
21,mindfulness9
22,vamosmillosalafinal
23,luciabastias
24,mejorperiodo
25,conductoragresivo
26,alesis
27,caracolradio
28,stevengalindo35
29,transmiseria
30,maorodriguezgon
31,moisesdurann
32,novoyalandino
33,invinitybutera
34,nataliamedinagc
35,transilenio
36,elcrimendelsiglo
37,canchakutecake
38,tup344
39,viajaryganar
40,adoptada
41,risinghell
42,juliochagui
43,drummers
44,sublimenap0
45,felizmartes
46,chinchemejia
47,kissme
48,kittenams
49,puntaxespn0779cnuevas
50,mateoleon1096
51,notlimits1996
52,magnoliavega
53,06feb
54,_galindoooo
55,repote
56,americas
57,tattoist
58,malparqueada
59,ayuno
60,sejuegaaestahora
61,transitobogotad
62,tremending
63,kafkiano
64,los120segundosdelgato
65,endesarrollo
66,jorgeantoniovega
67,victorrua94
68,cronicastransmi
69,jotavolatil
70,reportan
71,sitpbogota
72,alejauribet_
73,tempranoesmasbacano
74,misswxtch
75,noticiasrcn
76,adriandark87
77,animalpol
78,womanportrait
79,juanvaquero11
80,event
81,tr
82,prensapipepela1
83,canalrcn
84,rappicolombia
85,1abr
86,_tovaaaar_
87,endgameen
88,bogotrip
89,auntengohambre
90,cesarflechas
91,noctambulocity
92,eltiempo
93,ottogerardo
94,policiabogota
95,brinks
96,mercycorpsco
97,vargaspipe1946
98,viviansalazar
99,peluchesquiquesam
100,natacalixto
101,hamiltonchis
102,fontibon
103,stevenarce
104,meca10091
105,nancyaloma5
106,etib_sas
107,btacaosconelmetrico
108,lacalera
109,tmahora
110,cruzmedjp
111,bogotasemueve
112,noticiascapital
113,rafaela70598416
114,silviaromera1
115,prudenciaenlascalles
116,sylvanagomez
117,naelamusic
118,bluradioco
119,seguridadbog
120,lafmsiempre
121,tranc
122,bocarejo_jp
123,sangre
124,cam4birthday
125,dictador3
126,elojodlanoche
127,eldandy
128,puentearanda
129,circunvalar
130,sushiman
131,tmb
132,nanpao_
133,fontibonsomost
134,lafarradeespumas
135,pachoherrerajr
136,veggifood
137,tatarabat
138,shinyhunt
139,domingodememes
140,camaradamotero
141,ma
142,civicosbog
143,movilidad
144,pulzo
145,ppwcedritos
146,bogot
147,cantera_azull
148,cavaderosas
149,frankiemares
150,pavefra
151,bocadeseleccion
152,nataliacerab
153,gabbynaranjo14
154,uimunicipalista
155,elsaximena
156,ffgames
157,13ba
158,handpoke
159,dilianfrancisca
160,animalesbog
161,incidentevial
162,jasanbol
163,sitpayuda
164,kindergartenclassroom
165,central
166,elluquillo
